Time,Latitude,Longitude,counts
1712962918.14,0,0,39.5
1712962919.7,0,0,39.5
1712962921.69,0,0,39.5
1712962923.69,0,0,39.5
1712962925.73,0,0,30.0
1712962927.73,0,0,32.5
1712962929.69,0,0,32.5
1712962931.72,0,0,36.0
1712962933.72,0,0,44.5
1712962935.72,0,0,33.0
1712962937.69,0,0,33.0
1712962939.72,0,0,35.0
1712962941.72,0,0,34.5
1712962943.72,0,0,36.5
1712962945.72,0,0,27.0
1712962947.69,0,0,27.0
1712962949.72,0,0,33.5
1712962951.71,0,0,34.5
1712962953.72,0,0,34.0
1712962955.72,0,0,34.5
1712962957.7,0,0,34.5
1712962959.72,0,0,29.5
1712962961.72,0,0,28.5
1712962963.72,0,0,32.0
1712962965.7,0,0,32.0
1712962967.72,0,0,42.0
1712962969.72,0,0,35.0
1712962971.72,0,0,35.0
1712962973.72,0,0,31.0
1712962975.69,0,0,31.0
1712962977.72,0,0,36.5
1712962979.72,0,0,40.5
1712962981.72,0,0,35.5
1712962983.72,0,0,33.5
1712962985.69,0,0,33.5
1712962987.72,0,0,30.5
1712962989.72,0,0,26.5
1712962991.72,0,0,40.0
1712962993.69,0,0,40.0
1712962995.72,0,0,33.0
1712962997.72,0,0,29.5
1712962999.72,0,0,40.0
1712963001.72,0,0,39.0
1712963003.7,0,0,39.0
1712963005.72,0,0,35.5
1712963007.72,0,0,37.0
1712963009.72,0,0,33.0
1712963011.72,0,0,40.5
1712963013.7,0,0,40.5
1712963015.72,0,0,31.0
1712963017.72,0,0,35.0
1712963019.72,0,0,40.5
1712963021.69,0,0,40.5
1712963023.72,0,0,35.5
1712963025.72,0,0,29.0
1712963027.72,0,0,32.5
1712963029.72,0,0,32.0
1712963031.69,0,0,32.0
1712963033.72,0,0,31.0
1712963035.72,0,0,25.0
1712963037.72,0,0,27.5
1712963039.7,0,0,27.5
1712963041.72,0,0,33.0
1712963043.72,0,0,35.5
1712963045.71,0,0,36.5
1712963047.72,0,0,32.5
1712963049.69,0,0,32.5
1712963051.72,0,0,31.5
1712963053.72,0,0,38.0
1712963055.72,0,0,37.0
1712963057.72,0,0,34.0
1712963059.69,0,0,34.0
1712963061.72,0,0,39.5
1712963063.72,0,0,34.5
1712963065.72,0,0,36.0
1712963067.7,0,0,36.0
1712963069.72,0,0,31.0
1712963071.72,0,0,34.5
1712963073.72,0,0,40.0
1712963075.72,0,0,29.5
1712963077.69,0,0,29.5
1712963079.72,0,0,30.0
1712963081.72,0,0,41.0
1712963083.72,0,0,41.5
1712963085.72,0,0,28.5
1712963087.69,0,0,28.5
1712963089.72,0,0,26.5
1712963091.72,0,0,33.5
1712963093.72,0,0,39.0
1712963095.69,0,0,39.0
1712963097.72,0,0,31.0
1712963099.72,0,0,36.0
1712963101.72,0,0,34.5
1712963103.72,0,0,33.0
1712963105.71,0,0,33.0
1712963107.72,0,0,34.5
1712963109.72,0,0,40.0
1712963111.72,0,0,37.0
1712963113.71,0,0,39.0
1712963115.69,0,0,39.0
1712963117.72,0,0,34.5
1712963119.72,0,0,34.0
1712963121.71,0,0,34.0
1712963123.7,0,0,34.0
1712963125.72,0,0,34.0
1712963127.72,0,0,32.5
1712963129.72,0,0,31.5
1712963131.71,0,0,30.0
1712963133.7,0,0,30.0
1712963135.72,0,0,40.5
1712963137.72,0,0,29.0
1712963139.72,0,0,33.5
1712963141.72,0,0,32.5
1712963143.69,0,0,32.5
1712963145.72,0,0,33.0
1712963147.72,0,0,28.0
1712963149.72,0,0,38.5
1712963151.69,0,0,38.5
1712963153.72,0,0,37.0
1712963155.72,0,0,29.5
1712963157.72,0,0,40.0
1712963159.72,0,0,42.0
1712963161.69,0,0,42.0
1712963163.72,0,0,33.0
1712963165.72,0,0,36.5
1712963167.72,0,0,38.5
1712963169.72,0,0,36.5
1712963171.7,0,0,36.5
1712963173.72,0,0,44.0
1712963175.72,0,0,34.0
1712963177.72,0,0,37.5
1712963179.69,0,0,37.5
1712963181.71,0,0,34.5
1712963183.72,0,0,32.0
1712963185.72,0,0,35.0
1712963187.72,0,0,33.5
1712963189.69,0,0,33.5
1712963191.72,0,0,37.0
1712963193.72,0,0,39.0
1712963195.72,0,0,39.0
1712963197.69,0,0,39.0
1712963199.72,0,0,38.0
1712963201.72,0,0,36.0
1712963203.72,0,0,31.0
1712963205.72,0,0,36.0
1712963207.7,0,0,36.0
1712963209.72,0,0,36.0
1712963211.72,0,0,33.0
1712963213.72,0,0,39.5
1712963215.72,0,0,33.0
1712963217.69,0,0,33.0
1712963219.72,0,0,42.5
1712963221.72,0,0,33.0
1712963223.72,0,0,32.0
1712963225.69,0,0,32.0
1712963227.72,0,0,37.5
1712963229.72,0,0,35.0
1712963231.72,0,0,29.5
1712963233.72,0,0,30.0
1712963235.69,0,0,30.0
1712963237.72,0,0,35.5
1712963239.72,0,0,37.0
1712963241.71,0,0,35.0
1712963243.71,0,0,34.0
1712963245.69,0,0,34.0
1712963247.72,0,0,34.0
1712963249.72,0,0,36.0
1712963251.72,0,0,31.0
1712963253.69,0,0,31.0
1712963255.72,0,0,28.0
1712963257.72,0,0,32.5
1712963259.72,0,0,28.5
1712963261.72,0,0,36.5
1712963263.7,0,0,36.5
1712963265.72,0,0,40.0
1712963267.71,0,0,36.0
1712963269.72,0,0,39.5
1712963271.71,0,0,35.5
1712963273.69,0,0,35.5
1712963275.72,0,0,29.0
1712963277.72,0,0,37.0
1712963279.72,0,0,37.0
1712963281.7,0,0,37.0
1712963283.72,0,0,35.0
