Entry,Time (Epoch),PM1.0,PM2.5,PM10,Temperature,Gas,Relative Humidity,Pressure,Altitude,Counts,Total Counts,Count Rate (1/s),Running Count Rate (1/s)
1,1712359672.2272193,3,7,7,34.505,91303,100,751.8949906571423,2446.537892247193,0,0,0.0,0.0
2,1712359674.246596,3,7,7,22.359296875,25590,28.700954767595046,1002.9833440561445,85.8297236323636,0,0,0.0,0.0
3,1712359676.2608755,2,6,6,22.369453125,30309,28.66931655079242,1002.9848761889475,85.8168619652547,0,0,0.0,0.0
4,1712359678.2751164,2,6,6,22.38234375,33996,28.63249634942464,1002.9841232996348,85.82318218021267,0,0,0.0,0.0
5,1712359680.2893374,2,6,6,22.394453125,36964,28.5848121311164,1002.9889089695923,85.78300839489138,0,0,0.0,0.0
6,1712359682.3035014,3,6,6,22.405,39582,28.537018042837218,1002.9876699692911,85.7934092920047,0,0,0.0,0.0
7,1712359684.3176577,3,6,6,22.4145703125,42085,28.51076765261805,1002.9882238903123,85.78875935193838,0,0,0.0,0.0
8,1712359686.3319318,3,6,6,22.422578125,44077,28.47359541617765,1002.9895946108169,85.77725272373593,0,0,0.0,0.0
9,1712359688.3461738,3,6,6,22.4282421875,46215,28.436246046829595,1002.9853494538104,85.81288909150572,0,0,0.0,0.0
10,1712359690.3603957,3,6,6,22.4356640625,48069,28.39904563709175,1002.9891641547722,85.78086622172152,0,0,0.0,0.0
11,1712359692.3746846,3,6,6,22.4411328125,49695,28.38328690565222,1002.9811723425785,85.84795436186526,0,0,0.0,0.0
12,1712359694.388919,4,6,6,22.4462109375,51721,28.367498724771977,1002.9845023218762,85.82000043442379,0,0,0.0,0.0
13,1712359696.4031508,3,5,5,22.4508984375,53267,28.35168113416769,1002.9871813796417,85.79751080369542,0,0,0.0,0.0
14,1712359698.4173129,3,5,5,22.4548046875,55125,28.34659469531111,1002.9936899806147,85.74287387444562,0,0,0.0,0.0
15,1712359700.43144,3,6,7,22.459296875,56311,28.33615912815641,1002.999464435097,85.69440003220184,0,0,0.0,0.0
16,1712359702.4456823,4,7,8,22.462421875,57907,28.331011210032838,1003.0029608671197,85.66504923195252,0,0,0.0,0.0
17,1712359704.4599805,4,7,8,22.4649609375,59639,28.309632307733978,1003.0106123987842,85.60081873483901,0,0,0.0,0.0
18,1712359706.4742486,4,6,8,22.4669140625,60808,28.30439243397731,1003.008735303255,85.6165759065033,0,0,0.0,0.0
19,1712359708.4884524,4,6,8,22.469453125,62534,28.29919910233587,1003.018097340145,85.53798705769302,0,0,0.0,0.0
20,1712359710.502755,4,6,8,22.4719921875,63723,28.283218279148794,1003.027459424435,85.45939840493048,0,0,0.0,0.0
21,1712359712.5170631,4,7,8,22.473359375,65212,28.272539612816686,1003.0331584472063,85.41155907929748,0,0,0.0,0.0
22,1712359714.5312572,4,7,8,22.4743359375,66559,28.23486957411139,1003.0313646412525,85.42661680679245,0,0,0.0,0.0
23,1712359716.5455432,4,7,8,22.474921875,67744,28.213350650159295,1003.0272094638868,85.46149665462238,0,0,0.0,0.0
24,1712359718.5598147,4,7,8,22.4753125,69199,28.18104003278652,1003.0261498358154,85.47039152009822,0,0,0.0,0.0
25,1712359720.5740745,4,7,8,22.4755078125,70126,28.15949871785536,1003.0179227928784,85.53945227493746,1,1,0.016666666666666666,0.019855661413496976
26,1712359722.5881581,4,7,8,22.476484375,71810,28.13802233203418,1003.0161289497988,85.55451049927969,0,1,0.0,0.019092075036649326
27,1712359724.6023185,4,7,8,22.478828125,72808,28.127431493178133,1003.0063500776403,85.63659858172608,0,1,0.0,0.01838511345418453
28,1712359726.6165407,4,7,8,22.48,73447,28.159852807581206,1003.0048816189951,85.64892551469106,0,1,0.0,0.0177286279233515
29,1712359728.6306999,4,7,8,22.4815625,74825,28.143810438983877,1003.005774506626,85.64143019395999,0,1,0.0,0.017117373961695725
30,1712359730.6449187,5,8,9,22.483515625,75979,28.15474118368384,1003.0107392667217,85.59975375001291,0,1,0.0,0.016546887495873096
